"Job Name","Post Person Jobs","Provider","Salary Min","Salary Max","Job Type"
"倉庫内での仕分けの業務・履歴書不要","80-NGY　MAXPLPHA(株)","マックスアルファ","￥1,200","￥1,725","フルタイム"
"仕分け・ピッキング・梱包・検品","ランスタッド株式会社","ランスタッド","￥1,020","",""
"プレス加工・検査検品／食品工場製造","株式会社ウィルオブ・ワーク","WILLOF 工場求人","￥1,196","￥1,200","フルタイム"
"物流倉庫内軽作業スタッフ","イントラスト 茨城県守谷市エリア","【物流 イントラスト】の正社員・アルバイト・パート求人情報","","","フルタイム"
"倉庫（仕分・ピッキング・梱包･組立） 本・ＣＤの仕分け・出荷準備作業◎東西線　原木中山駅ルート◎","株式会社エントリー","株式会社エントリー","","",""
"派遣 12時 21時までのフォークリフトのお仕事／曜日自由 最低週３ OK","株式会社G&G","ハケンギフト","￥1500","","パートタイム"
"データ入力・タイピング","佐川グローバルロジスティクス株式会社","はたらこねっと","￥970","","パートタイム"
"製造補助","株式会社ウィルオブ・ワーク","WILLOF(ウィルオブ)","￥1,196","￥1,200","フルタイム"
"ピッキング（検品・梱包・仕分け）","株式会社ウィルエージェンシー 船橋支店","ウィルエージェンシー","￥1,226","","フルタイム"
"品出し(ピッキング)、梱包、倉庫管理・入出荷","株式会社フューチャー・プラスワン","バイトル","","","パートタイム"
"倉庫内でカンタン軽作業・即採用OK","受付-mkn-061　MAX ALPHA(株)","マックスアルファ","￥1500","","パートタイム"
"倉庫管理・入出荷","パーソルテンプスタッフ株式会社","はたらこIndex","￥1,480","",""
"その他軽作業・製造・物流（軽作業・製造・物流）","株式会社KKM","イーアイデム","￥960","","フルタイム"
"その他（軽作業・物流関連）","マックスアルファ株式会社","ヒバライドットコム","￥1,140","",""
"メーカー系／流通・サービス系企業での仕分け・ピッキング・梱包・検品","ランスタッド株式会社","ランスタッド","￥1200","",""
"【空調完備】男性活躍中！電子計測器を扱う倉庫内軽作業","株式会社ホットスタッフ","ホットスタッフ","￥1,150","",""
"軽作業","株式会社オープンループパートナーズ 大宮支店","しごとら","￥1,280","","フルタイム"
"品出し・仕分け・入出荷作業/軽作業","株式会社エヌエフエー　採用センター","Adopt.jp","￥1,140","￥1,425",""
"製造・物流・軽作業系","株式会社ジョブス","JOBLIST","￥1,204","",""
"軽作業","シェアフル株式会社　／8171741417","クリエイトバイト","￥1,132","",""
"物流・倉庫業務 / 軽作業","パーソルテンプスタッフ（株）","テンプスタッフ","￥1300","￥1400",""
"【勤務地：千葉県流山市】◆高時給1500円以上可能！◆週3日～5日！働き方自由です(*'ω'*)作業は超カンタン★≪DVD≫などのピッキング★","36-NGY　MAXPLPHA(株)","マックスアルファ","￥1,200","￥1,725","フルタイム"
"倉庫内・軽作業／倉庫スタッフ","ファイズオペレーションズ株式会社 流山事業所61","シフトワークス","￥1,140","","パートタイム"
"派遣 フォークリフト リーチ 使用・週３ OK・日勤／折りたたみコンテナの移動","株式会社G&G","ハケンギフト","￥1500","","フルタイム"
"フォークリフトオペレーター 【倉庫内フォークリフトオペレーター】募集！　■取り扱い商品：家電製品","MSロジテクサービス株式会社","MSロジテクサービス株式会社TOP","","","パートタイム"
"軽作業","SBSロジコム株式会社","Q-Mate.jp","￥950","","パートタイム"
"ピッキング","株式会社アドミック","JOB-CAST","￥1,310","",""
"フォークリフト","ティー・エム・エス株式会社","はたらこねっと","","",""
"【アニメ・漫画好き大歓迎‼】【20代女性活躍中】「同人誌」を扱う倉庫内軽作業スタッフ・・・・★【長期安定】【定着率抜群！】","株式会社ホットスタッフ","ホットスタッフ","￥1,110","",""
"品出し・仕分け・入出荷作業/軽作業","株式会社エヌエフエー　採用センター","Adopt.jp","￥1,140","￥1,425",""
"工場、品出し(ピッキング)、仕分け・シール貼り、検品","SBSスタッフ株式会社","バイトル","￥1,140","￥1,488",""
"常温倉庫のピッキングスタッフ","株式会社シーエックスカーゴ","engage","","","フルタイム"
"倉庫内・軽作業/梱包・お小遣いもスグＧＥＴできる","180-NGY　MAXPLPHA(株)","マックスアルファ","￥1,200","￥1,725","フルタイム"
"倉庫内・軽作業／倉庫スタッフ","エヌエス・ジャパン株式会社(川崎/軽作業スタッフ) (夜勤)(148)","シフトワークス","￥1,050","",""
"倉庫スタッフ","エヌエス・ジャパン株式会社 大宮支店","ニフティアルバイト - @Nifty","￥1,140","￥1,425","パートタイム"
"軽作業","株式会社ウィルエージェンシー ＩＴ・オフィスサポート秋葉原支店","ウィルエージェンシー","￥1,385","","フルタイム"
"倉庫スタッフ","エヌエス・ジャパン株式会社 大宮支店(流山)","はた楽求人ナビ","","","パートタイム"
"ピッキング（検品・梱包・仕分け）","株式会社オープンループパートナーズ 大宮支店","しごとら","￥1,280","","フルタイム"
"品出し・仕分け・入出荷作業/軽作業","株式会社エヌエフエー　採用センター","Adopt.jp","￥1,140","￥1,425",""
"仕分け","新雪運輸株式会社","engage","￥1,000","￥1,250","パートタイム"
"倉庫スタッフ","エヌエス・ジャパン株式会社(アマゾン流山/軽作業スタッフ)(夜勤)-302","らくらくアルバイト","￥1,140","","パートタイム"
"夜勤amazon倉庫で軽作業スタッフ","ファイズオペレーションズ株式会社","ファイズの求人情報サイト｜アマゾンなどの倉庫内バイト多数","￥1,050","","パートタイム"
"倉庫内・軽作業・日払いオッケー","84-NGY　MAXPLPHA(株)","マックスアルファ","￥1,200","￥1,725","フルタイム"
"倉庫スタッフ","エヌエス・ジャパン株式会社 大宮支店","ニフティアルバイト - @Nifty","￥1,140","￥1,425","パートタイム"
"【週3～OK★】【無料送迎あり】【私服勤務ＯＫ】「漫画」や「DVD」を扱う物流倉庫でピッキングや梱包作業------*+。゜【男女活躍中‼】","株式会社ホットスタッフ","ホットスタッフ","￥1,140","",""
"倉庫スタッフ","エヌエス・ジャパン株式会社 大宮支店(流山)","はた楽求人ナビ","","","パートタイム"
"倉庫内・軽作業／軽作業・製造系","株式会社浜名　川藤倉庫","シフトワークス","￥930","","パートタイム"
"品出し・仕分け・入出荷作業/軽作業","株式会社エヌエフエー　採用センター","Adopt.jp","￥1,140","￥1,425",""
"倉庫スタッフ","エヌエス・ジャパン株式会社(アマゾン流山/軽作業スタッフ)(夜勤)-174","らくらくアルバイト","￥1,140","","パートタイム"
